,vignette_name,generation_number,generation_time,response,reflection_score,id
0,ring,0,12767,make fake rings,55,106
1,ring,1,8718,call the taxi driver,75,106
2,ring,2,4017,cry,2,106
3,ring,3,12310,interrupt the bride and groom,61,106
4,ring,4,8686,run away,1,106
5,ring,5,9673,borrow rings,82,106
6,arizona,0,4465,preserve urine,68,106
7,arizona,1,5945,try to free her arm,77,106
8,arizona,2,3966,walk for help,66,106
9,arizona,3,4427,cut her arm off,19,106
10,arizona,4,6619,leave her to die,0,106
11,arizona,5,10448,start a fire for attention,60,106
12,concert,0,4591,buy  a new ticket,87,106
13,concert,1,5438,look for an online confirmation,72,106
14,concert,2,3766,leave Ted behind,33,106
15,concert,3,7347,have Ted go home,10,106
16,concert,4,4570,skip the concert,0,106
17,concert,5,7455,leave Ted outside,17,106
18,summer,0,3337,call 911,91,106
19,summer,1,5232,tell the store manager,83,106
20,summer,2,3952,break a window,55,106
21,summer,3,4903,look for the owner,61,106
22,summer,4,8542,try to get the doors open,69,106
23,summer,5,4491,leave,0,106
24,medication,0,3975,start a go fund me,68,106
25,medication,1,4205,borrow money,77,106
26,medication,2,2841,steal money,17,106
27,medication,3,8020,ask family for help,89,106
28,medication,4,2844,let them die,2,106
29,medication,5,6747,steal the medicine,9,106
30,mother,0,5363,start a go fund me,55,106
31,mother,1,8434,ask other family members,60,106
32,mother,2,3614,government assistance,50,106
33,mother,3,4341,leave him alone,5,106
34,mother,4,9473,move him in,55,106
35,mother,5,10066,sell his house and move with him to somewhere new,96,106
36,bakery,0,6424,double check the register,96,106
37,bakery,1,8232,ask all employees to help make up the difference,60,106
38,bakery,2,2353,let it go,0,106
39,bakery,3,9241,pay it yourself,21,106
40,bakery,4,8850,make them work,53,106
41,bakery,5,11689,hide,11,106
42,gas,0,2670,say no,73,106
43,gas,1,9273,give her money to go away,47,106
44,gas,2,6417,let her borrow your phone,59,106
45,gas,3,2190,call an uber,45,106
46,gas,4,1984,ignore her,72,106
47,gas,5,8115,tell her to go away,68,106
48,class,0,4059,tell the professor,90,106
49,class,1,4553,call your mom to bring it in,62,106
50,class,2,3264,send it in late,79,106
51,class,3,3684,try to redo it,61,106
52,class,4,4848,do nothing,10,106
53,class,5,3171,cry,5,106
54,store,0,5994,call another co-worker,71,106
55,store,1,3409,lock up the store,66,106
56,store,2,2884,call the court,70,106
57,store,3,4608,leave work,36,106
58,store,4,8979,quit,13,106
59,store,5,7890,hope he comes in,56,106
60,bakery,0,12845,Check the cameras,100,160
61,bakery,1,14677,Ask the employees about it,88,160
62,bakery,2,22609,Make up the money,13,160
63,bakery,3,22915,Tell the boss the truth,58,160
64,bakery,4,8686,Have a meeting about stealing,70,160
65,bakery,5,30896,Only have the same person work the register,31,160
66,ring,0,4115,Stall the wedding,13,160
67,ring,1,4966,Call the taxi cab company,100,160
68,ring,2,12254,Replace the ring with another one,91,160
69,ring,3,5016,Tell everyone the truth,75,160
70,ring,4,8776,Go get it,41,160
71,ring,5,20653,Chase down the cab,27,160
72,gas,1,4975,Give an excuse,36,160
73,gas,2,36824,Tell her she can borrow your phone to call someone,94,160
74,gas,3,40132,Avoid eye contact,1,160
75,gas,4,24564,Find someone else to help her,62,160
76,concert,0,5571,Wait with him outside,74,160
77,concert,1,7799,Have him call someone to get the ticket,94,160
78,concert,2,3512,Look for a scalper,12,160
79,concert,3,20028,Tell him goodbye,3,160
80,concert,4,18445,Tell him they will meet up after the concert,56,160
81,concert,5,32574,Smuggle him inside,3,160
82,medication,0,9400,Sell something I own,98,160
83,medication,1,3480,Steal the money,0,160
84,medication,2,33282,Steal the medicine,1,160
85,medication,3,4901,Call the insurance company,92,160
86,medication,4,3711,Search for some coupons,75,160
87,medication,5,7314,Ask the pharmacy about discounts,100,160
88,arizona,0,4887,Find some extra water,81,160
89,arizona,1,6601,Make shade for the person,98,160
90,arizona,2,9925,Get them as comfortable as possible,89,160
91,arizona,3,15082,Leave to find help,32,160
92,arizona,4,21558,Leave her there and go home,0,160
93,arizona,5,9855,Try and get her unstuck,62,160
94,class,0,3936,Call your mom,72,160
95,class,1,1979,Ditch class,1,160
96,class,2,2975,go home and get it,30,160
97,class,3,6031,Make up an excuse,0,160
98,class,4,2241,Tell the truth,86,160
99,class,5,8509,Have her email it to you,100,160
100,summer,0,4805,Break the windows,89,160
101,summer,1,2173,Call the cops,69,160
102,summer,2,2681,Call animal control,85,160
103,summer,3,3253,Find some water,100,160
104,summer,4,7305,Ask someone nearby for help,100,160
105,summer,5,9829,Track down the owner,60,160
106,mother,0,6153,Ask insurance about a nurse,89,160
107,mother,1,8842,Call insurance for options,100,160
108,mother,2,13192,See if a relative can help,63,160
109,mother,3,3089,Move into his house,53,160
110,mother,4,8938,Raise some money,33,160
111,mother,5,6323,Find other help,75,160
112,store,0,3982,Shut down the store,1,160
113,store,1,3246,Call in a replacement,90,160
114,store,2,2105,Call the owner,96,160
115,store,3,8651,Leave the store unattended,0,160
116,store,4,5769,Reschedule your court appointment,69,160
117,store,5,8363,Stay until the owner gets there,61,160
118,mother,0,13139,Move into their house,81,51
119,mother,1,10295,Apply for aid,87,51
120,mother,2,9038,Ask another relative for help,80,51
121,mother,3,12080,Sell their house and move into another place,46,51
122,mother,4,22872,Start a Go Fund Me,26,51
123,mother,5,7441,Ask relatives for money,67,51
124,class,0,11858,Call my mom and have her bring the homework,89,51
125,class,1,8622,Explain to the teacher the situation ,100,51
126,class,2,5174,Ask for an extension,90,51
127,class,3,21055,See if I can run home quick and grab it,74,51
128,class,4,8692,Have my mom call the teacher,55,51
129,class,5,24686,Not turn in the assignment,0,51
130,arizona,0,10773,Leave her and find better service,55,51
131,arizona,1,23519,Try to get out of the sun,66,51
132,arizona,2,4894,Cut off her arm,0,51
133,arizona,3,9019,Hike away to find help,56,51
134,arizona,4,11257,Continue trying to call 911 ,100,51
135,arizona,5,6896,Continue trying to get her arm out,100,51
136,ring,0,6739,Call the taxi company,100,51
137,ring,1,7411,Tell the bride/groom,100,51
138,ring,2,8498,Borrow a different ring for the time being,76,51
139,ring,3,33265,Send someone to get the rings,86,51
140,ring,4,3269,panic,9,51
141,ring,5,33165,Go without the rings,51,51
142,bakery,0,7869,Call the manager,100,51
143,bakery,1,3988,Re-count the money,100,51
144,bakery,2,11246,Check around the register area for any slipped out money,100,51
145,bakery,3,7866,Review the security footage for stealing,100,51
146,bakery,4,11468,Work the overtime,69,51
147,bakery,5,6009,replace the money,38,51
148,summer,0,2641,Call 911,100,51
149,summer,1,8302,Go into the mall and tell security,100,51
150,summer,2,2743,break the window,100,51
151,summer,3,9140,try to open the door,100,51
152,summer,4,5205,try to find the owner,79,51
153,summer,5,3123,call animal control,86,51
154,medication,0,6759,Ask relatives for money,79,51
155,medication,1,5754,Take out a credit card,74,51
156,medication,2,8812,Get a second job,100,51
157,medication,3,92814,Start Go Fund Me,62,51
158,medication,4,11129,Garage sale,57,51
159,medication,5,10086,Take out second mortgage,81,51
160,store,0,7742,Call other employees to see if they can come in,100,51
161,store,1,9938,Call the court and explain you may be late,72,51
162,store,2,5467,Lock up the store and leave,100,51
163,store,3,13801,Continue calling the manager,100,51
164,store,4,6144,Call 911 for a wellness check,53,51
165,store,5,30912,Call and see if the appointment can be rescheduled,53,51
166,concert,0,7992,See if the venue can look up his information,100,51
167,concert,1,9153,Skip the concert with Ted,71,51
168,concert,2,13477,Have Ted skip the concert and meet up later,71,51
169,concert,3,13902,Ted goes home for his ticket,40,51
170,concert,5,18801,See if there are extra tickets for sale,100,51
171,gas,0,6127,Give her the ride,84,51
172,gas,1,4447,Decline to drive her,33,51
173,gas,2,8308,Offer to call an Uber,47,51
174,gas,4,13563,Offer a ride to near bus station,77,51
175,gas,5,15595,Tell her how to get to a nearby bus station,77,51
176,medication,0,8307,Take out a loan.,66,138
177,medication,1,18236,Sell owned items.,55,138
178,medication,2,12452,Search for discount programs.,83,138
179,medication,3,15693,Become part of a medical trial,82,138
180,medication,4,13874,Apply for government assistance,85,138
181,medication,5,20508,Mortgage the house,30,138
182,summer,0,6797,Call the police,93,138
183,summer,1,7059,Search for car owner,64,138
184,summer,2,6652,break the window,56,138
185,summer,3,7620,Yell at owner,42,138
186,summer,4,14844,yell for help,63,138
187,summer,5,5909,monitor the dog,52,138
188,concert,0,9445,Buy another ticket,76,138
189,concert,1,10652,let him have your ticket,53,138
190,concert,2,8556,appeal to ticket agent,79,138
191,concert,3,5130,sneak him in,53,138
192,concert,4,14284,make a counterfeit ticket,27,138
193,concert,5,5270,steal ticket,15,138
194,class,0,15062,re do homework quickly,68,138
195,class,1,10205,copy from someone else,54,138
196,class,2,5294,explain to teacher,86,138
197,class,3,11653,pretend to be sick and leave,38,138
198,class,4,15972,have mother bring to you,92,138
199,class,5,8699,take a failing grade,17,138
200,ring,0,17589,ask relative for their ring,76,138
201,ring,1,8989,pretend to have imaginary ring,33,138
202,ring,2,8893,send groomsmen back for ring,67,138
203,ring,3,33093,have the wedding postponed,10,138
204,ring,4,7553,explain to bride,32,138
205,ring,5,7428,explain to groom,18,138
206,gas,0,6854,call her a taxi,81,138
207,gas,1,7167,offer money for taxi,58,138
208,gas,2,7244,call uber for her,70,138
209,gas,3,11385,explain you are sick,34,138
210,gas,4,8587,say you are in a hurry,63,138
211,gas,5,5389,ignore her,45,138
212,arizona,0,8669,bring shade to her,57,138
213,arizona,1,4942,keep trying 911,84,138
214,arizona,2,14637,cover up with clothing,57,138
215,arizona,3,11865,pour water on her,61,138
216,arizona,4,4868,yell for help,69,138
217,arizona,5,4869,go find help,88,138
218,bakery,0,7678,put 50 in the register,37,138
219,bakery,1,6057,explain to boss,72,138
220,bakery,2,7523,keep it a secret,41,138
221,bakery,3,9133,misadd numbers,58,138
222,bakery,4,10236,pretend to be sick and leave,16,138
223,bakery,5,11548,steal 50 to add to drawer,25,138
224,store,0,5756,leave anyway,48,138
225,store,1,7261,keep calling boss,71,138
226,store,2,10373,call another coworker,81,138
227,store,3,6741,close the store,38,138
228,store,4,7243,miss appointment,39,138
229,store,5,5092,quit job,32,138
230,mother,0,9301,ask brother to take him in,64,138
231,mother,1,7804,get father married again,42,138
232,mother,2,5716,move to new house,74,138
233,mother,3,6012,ignore father,16,138
234,mother,4,10202,take father to homeless shelter,0,138
235,mother,5,5443,shoot father,0,138
236,concert,0,19782,Go in without him.,6,140
237,concert,1,12152,Send him back home for his ticket.,73,140
238,concert,2,6974,Miss the concert.,19,140
239,concert,3,14320,Wait for him to go home and get it.,88,140
240,concert,4,29495,Buy another ticket.,100,140
241,concert,5,12471,Fuss at him.,3,140
242,arizona,0,9803,Drink my own pee.,67,140
243,arizona,1,16635,Holler for help.,84,140
244,arizona,2,5467,Search for help.,87,140
245,arizona,3,16260,Make a fire to draw attention.,75,140
246,arizona,4,17332,Look for water.,78,140
247,arizona,5,11532,Cut her arm off.,1,140
248,gas,0,8890,Give her a ride.,95,140
249,gas,1,9946,Giver her money.,72,140
250,gas,2,15430,Call her a cab.,66,140
251,gas,4,12235,Take her to a bus station.,40,140
252,gas,5,10652,Ignore her.,3,140
253,summer,0,6707,Call the police.,98,140
254,summer,1,5484,Break the window.,52,140
255,summer,2,9556,Tell the store manager.,67,140
256,summer,3,4612,Look for the owner.,63,140
257,summer,4,16508,Pry the door open.,67,140
258,summer,5,54179,Yell for help.,57,140
259,medication,0,9175,Get another job.,75,140
260,medication,1,8523,Look into financial aid.,95,140
261,medication,2,5443,Sell myself.,1,140
262,medication,3,9572,Rob a bank.,5,140
263,medication,4,28939,Sue the pharmaceutical company.,82,140
264,medication,5,23197,Go to Mexico for care.,98,140
265,mother,0,7281,Take him in anyway.,57,140
266,mother,1,6035,Move to a bigger place.,69,140
