,id,vignette_name,generation_number,generation_time,response,reflection_score
0,72,Brian,0,38837,review the transactions for the day and try to figure out if there was a computing error,31
1,72,Brian,1,21918,look for the missing money maybe it fell under the cash register or something,15
2,72,Brian,2,119718,assess if any coworkers would be likely to take the money without asking them immediately then try and find a way to confirm this,5
3,72,Brian,3,61550,find a trusted coworker and investigate the problem with them,20
4,72,Brian,4,27189,find out if the money was missing at the start of his shift,10
5,72,Brian,5,36614,review security footage if its available,55
6,72,Brad,0,18638,search for water,58
7,72,Brad,1,30806,use the stars or landmarks to figure out cardinal directions,62
8,72,Brad,2,6175,look for water,56
9,72,Brad,3,18807,huddle for warmth,52
10,72,Brad,4,47646,make signs asking for help and place them nearby hoping another hiker sees them,23
11,72,Brad,5,26110,yell in the hopes someone who can help is nearby,9
12,72,Heinz,0,12686,steal the money,0
13,72,Heinz,1,14935,look for a cheaper insurance plan,33
14,72,Heinz,2,9934,try alternative medicine,8
15,72,Heinz,3,15798,beg on the street,0
16,72,Heinz,4,12582,try freelance work,20
17,72,Heinz,5,17558,scrounge up change around the house,2
18,72,Darya,0,24478,ask if anyone at the venue has another ticket,4
19,72,Darya,1,33742,see if he has a receipt on his phone for the ticket and see if the venue would accept it,18
20,72,Darya,2,37927,loiter outside with him and try and hear the music outside the venue,7
21,72,Darya,3,17823,steal a ticket from another concertgoer,0
22,72,Darya,4,24790,explain the situation and beg the venue management for help,5
23,72,Darya,5,22175,post about the situation on social media and ask for help,6
24,72,Eamon,0,20462,keep driving behind the driver,0
25,72,Eamon,1,8335,take another route,12
26,72,Eamon,2,36710,throw something at the other car to get their attention,1
27,72,Eamon,3,29502,turn back and find another route,6
28,72,Eamon,4,12134,call a friend for help or advice,16
29,72,Eamon,5,53566,see if anyone else on the road is witnessing the other driver and ask them for help,9
30,72,Eunice,0,14351,see if there are other witnesses,12
31,72,Eunice,1,35734,record the teen,24
32,72,Eunice,2,50599,see if security is nearby,17
33,72,Eunice,3,68238,throw something at the teen to distract them,0
34,72,Eunice,4,24142,ask other bystanders for help,21
35,72,Eunice,5,11390,call a friend for advice,11
36,72,Mary,0,11071,ask for an extension,16
37,72,Mary,1,21878,lie to the teacher,0
38,72,Mary,2,11295,pull a fire alarm,0
39,72,Mary,3,20559,pretend to suddenly be sick,6
40,72,Mary,4,57014,rush home to grab the assignment,3
41,72,Mary,5,83198,ask the internet for help,0
42,72,Josh,0,14183,take public transit,14
43,72,Josh,1,14046,get a refund and reschedule the trip,26
44,72,Josh,2,24863,steal a nearby vehicle,0
45,72,Josh,3,18934,yell for help,5
46,72,Josh,4,19151,steal a bicycle,0
47,72,Josh,5,62406,try to fix the car himself,3
48,72,Liz,0,19710,leave a note for her friend,24
49,72,Liz,1,16374,ask the front desk to tell her friend then leave,50
50,72,Liz,2,12431,beg the front desk to let her in,0
51,72,Liz,3,68326,try and pass off her membership card as active,0
52,72,Liz,4,31582,see if she can buy a cheaper onetime pass to get in,14
53,72,Liz,5,20558,scream at the front desk and ask for a manager,0
54,48,Liz,0,52909,use the front desk phone,100
55,48,Liz,1,12521,renew her membership,100
56,48,Liz,2,10354,wait for her friend,64
57,48,Liz,3,6608,leave the gym,26
58,48,Liz,4,11324,borrow someones phone,100
59,48,Liz,5,10335,sneak in to the gym,0
60,48,Heinz,0,17394,see another doctor,100
61,48,Heinz,1,8194,get different medication,88
62,48,Heinz,2,6785,side hustle,76
63,48,Heinz,3,8994,get assistance,70
64,48,Heinz,4,14684,ask family,25
65,48,Heinz,5,5681,new opinion,100
66,48,Eamon,0,13055,take a different road,100
67,48,Eamon,1,5238,quickly pass,36
68,48,Eamon,2,4297,call police,37
69,48,Eamon,3,7398,record plate number,100
70,48,Eamon,4,5969,pull over,68
71,48,Eamon,5,8519,stay away from car,100
72,48,Mary,0,11927,let the teacher know,100
73,48,Mary,1,6185,ask for new copy,72
74,48,Mary,2,2600,redo,95
75,48,Mary,3,10472,call mom,74
76,48,Mary,4,7663,do nothing,0
77,48,Mary,5,21846,get late assignment,100
78,48,Josh,0,6727,call for help,100
79,48,Josh,1,5741,extend flight,81
80,48,Josh,2,7873,call friend,37
81,48,Josh,3,21580,flag someone,83
82,48,Josh,4,7651,try to repair ir,100
83,48,Josh,5,4913,get out of car,26
84,48,Brad,0,7908,look for wood,100
85,48,Brad,1,5640,keep waling,63
86,48,Brad,2,5424,call for help,100
87,48,Brad,3,5560,look for food,73
88,48,Brad,4,10005,make shelter,32
89,48,Brad,5,6981,compass,100
90,48,Brian,0,12496,do books again,100
91,48,Brian,1,13127,ask around,100
92,48,Brian,2,5703,tell manager,18
93,48,Brian,3,6199,put own money in,100
94,48,Brian,4,27566,look for the missing cash,77
95,48,Brian,5,3916,none,0
96,48,Darya,0,16804,try to buy new ticket,100
97,48,Darya,1,4520,go home,26
98,48,Darya,2,9309,let front know,94
99,48,Darya,3,8405,call to see if someone can bring it,70
100,48,Darya,4,7663,skip show,22
101,48,Darya,5,16339,give him another,93
102,48,Eunice,0,9035,ignore it,72
103,48,Eunice,1,4950,watch them,91
104,48,Eunice,2,5273,ask family,70
105,48,Eunice,3,10329,walk away,96
106,48,Eunice,4,10136,ask teen,69
107,48,Eunice,5,3464,none,0
108,28,Eunice,0,82244,go sit at the familys place to see what reaction the teen has,38
109,28,Eunice,1,30671,go and stand next to the teen and see what the teen does,86
110,28,Eunice,2,46565,attract the attention of the family and point to the teen,93
111,28,Eunice,3,34091,i cant think of anything else,0
112,28,Eunice,4,7851,i cant think of anything else,0
113,28,Eunice,5,7643,i cant think of anything else,0
114,28,Brad,0,37658,consult a map,100
115,28,Brad,1,110127,use a gps device that they should have,100
116,28,Brad,2,21359,try to retrace steps back to beginning,63
117,28,Brad,3,54167,ask friends what extra clothes or items they have in their backpacks,100
118,28,Brad,4,80007,make a campfire to act as a signal,40
119,28,Brad,5,40912,hope a mountie encounters them,88
120,28,Liz,0,69429,i cant think of anything else,0
121,28,Liz,1,12726,i cant think of anything else,0
122,28,Liz,2,2612,i cant think of anything else,0
123,28,Liz,3,3900,i cant think of anything else,0
124,28,Liz,4,2275,i cant think of anything else,0
125,28,Liz,5,1924,i cant think of anything else,0
126,28,Darya,0,27819,call teds house and see if someone could bring the ticket,100
127,28,Darya,1,58493,see if ted has a receipt for the ticket on his phone,100
128,28,Darya,2,59766,call teds house and see if someone could send a picture of the ticket to her phone,40
129,28,Darya,3,13369,i cant think of anything else,0
130,28,Darya,4,4123,i cant think of anything else,0
131,28,Darya,5,2977,i cant think of anything else,0
132,28,Eamon,0,64353,flash highbeams ,100
133,28,Eamon,1,21916,drive erratically himself to see if other driver catches on,59
134,28,Eamon,2,83269,i cant think of anything else,0
135,28,Eamon,3,3113,i cant think of anything else,0
136,28,Eamon,4,2327,i cant think of anything else,0
137,28,Eamon,5,3270,i cant think of anything else,0
138,28,Josh,0,34982,decide that hunting safaris are immoral,100
139,28,Josh,1,18261,try to fix the car,100
140,28,Josh,2,17393,flag down another driver and see if they could fix the car,39
141,28,Josh,3,59775,call the airport to see if the flight has been delayed,100
142,28,Josh,4,26969,call the airport and try to catch a later flight,100
143,28,Josh,5,3013,i cant think of anything else,0
144,28,Mary,0,32075,search frantically in her backpack,0
145,28,Mary,1,8167,go home and get the homework,85
146,28,Mary,2,31139,if the homework is saved on her laptop print another copy,85
147,28,Mary,3,9311,i cant think of anything else,0
148,28,Mary,4,19053,i cant think of anything else,0
149,28,Mary,5,2828,i cant think of anything else,0
150,28,Heinz,0,32131,contact the doctor to see if a less expensive medication could be prescribed,100
151,28,Heinz,1,26226,as the pharmacy if they take goodrx or other coupon deals,57
152,28,Heinz,2,37998,ask the pharmacist if there is a generic equivalent,100
153,28,Heinz,3,5946,i cant think of anything else,0
154,28,Heinz,4,1609,i cant think of anything else,0
155,28,Heinz,5,1579,i cant think of anything else,0
156,28,Brian,0,32359,recount the money just in case he made a mistake,100
157,28,Brian,1,20013,try to remember if there was a transaction for that amount,40
158,28,Brian,2,23424,tell his manager he will pay the money out of his next check,100
159,28,Brian,3,4172,i cant think of anything else,0
160,28,Brian,4,1331,i cant think of anything else,0
161,28,Brian,5,1533,i cant think of anything else,0
162,6,Eunice,0,19906,ask someone else on the beach,59
163,6,Eunice,1,11599,talk to a life guard,98
164,6,Eunice,2,26740,leave a note,33
165,6,Eunice,3,16351,call non emergency number for police,42
166,6,Eunice,4,7713,ask a friend for advice,55
167,6,Eunice,5,7655,take a video of the situation ,63
168,6,Brian,0,14896,google the situation,50
169,6,Brian,1,11416,recount the money,63
170,6,Brian,2,12204,check around the store in case it was misplaced,54
171,6,Brian,3,11553,check security cameras,95
172,6,Brian,4,14734,look to see if anyone left a note about the missing money,50
173,6,Brian,5,5192,call the police,42
174,6,Josh,0,11257,call the airport,60
175,6,Josh,1,6313,reschedule his flight,78
176,6,Josh,2,12635,move his car to the side of the road,58
177,6,Josh,3,5629,try and fix the car,56
178,6,Josh,4,16307,flag down a stranger to ask for help,14
179,6,Josh,5,3736,call 911,62
180,6,Liz,0,35542,leave a note for her friend and then go home,40
181,6,Liz,1,16916,ask at the front desk if they can let her friend know,65
182,6,Liz,2,8817,ask for a day pass,100
183,6,Liz,3,13746,ask her friend for a day pass,83
184,6,Liz,4,7850,just leave,0
185,6,Liz,5,8844,ask her friend for advice,50
186,6,Heinz,0,10234,rob a bank,0
187,6,Heinz,1,5571,commit a crime,0
188,6,Heinz,2,19508,call 911,40
189,6,Heinz,3,13766,freelance work,74
190,6,Heinz,4,7570,look for alternative treatment,65
191,6,Heinz,5,3976,holistic care,66
192,6,Mary,0,18389,pretend to be sick,30
193,6,Mary,1,4310,go the the nurse,68
194,6,Mary,2,5195,hide in the bathroom,53
195,6,Mary,3,14420,talk to the principle ,90
196,6,Mary,4,17067,pretend she never go it,17
197,6,Mary,5,8104,turn in half done work,49
198,6,Eamon,0,7493,do nothing,50
199,6,Eamon,1,13145,park and wait for them to drive further away,50
200,6,Eamon,2,5946,all non emergency number,50
201,6,Eamon,3,7418,call a friend for advice,50
202,6,Eamon,4,6154,do nothing,50
203,6,Eamon,5,4194,tailgate them,33
204,6,Brad,0,19446,do nothing ,50
205,6,Brad,1,1871,wait,50
206,6,Brad,2,5651,tell stories with friends,50
207,6,Brad,3,4683,check a map,57
208,6,Brad,4,3981,run ,50
209,6,Brad,5,3685,die,0
210,6,Darya,0,15342,call someone at his house,52
211,6,Darya,1,11333,ask a friend to go to his house a text a picture of his ticket,77
212,6,Darya,2,17796,have him check his phone for a digital receipt of purchase,59
213,6,Darya,3,14534,check if he can have his ticket looked up in the computer,64
214,6,Darya,4,5956,ignore him,9
215,6,Darya,5,8422,call ticket office,68
216,2,Heinz,0,13309,take surveys on prolific,5
217,2,Heinz,1,4022,set up a fundraiser,76
218,2,Heinz,2,15753,deliver food for a service like doordash,40
219,2,Heinz,3,11485,steal the medication,77
220,2,Heinz,4,12000,get a second opinion,50
221,2,Heinz,5,11654,sell valuable items,81
222,2,Brian,0,13079,check security footage,100
223,2,Brian,1,24998,recount the money,66
224,2,Brian,2,18325,ask someone else to recount the money,65
225,2,Brian,3,21756,double check the amount brian thinks he should have is correct,66
226,2,Brian,4,29363,i dont know,0
227,2,Brian,5,4013,i still dont know,0
228,2,Josh,0,10394,order an uber,100
229,2,Josh,1,4991,not go and dont kill any animals,100
230,2,Josh,2,11941,check bus schedules for the area,80
231,2,Josh,3,14590,wait and see if anyone driving by offers him a ride,50
232,2,Josh,4,143473,look up shuttle bus to the airport,93
233,2,Josh,5,9392,all the airport and see if they have cars that pick people up,100
234,2,Liz,0,25387,pay for to use the gym for one day ,100
235,2,Liz,1,9092,wait for her friend then go to a free gym ,100
236,2,Liz,2,9686,play racquetball outside,100
237,2,Liz,3,10606,wait for her friend then find an activity to do somewhere else,100
238,2,Liz,4,6983,go back to the office and call her friend ,100
239,2,Liz,5,97214,go home and call her friend,100
240,2,Eunice,0,8090,mind her business,100
241,2,Eunice,1,29056,look the other way,51
242,2,Eunice,2,6525,ask the teen if theyre with the family,82
243,2,Eunice,3,8157,wait to see if the teen joins the family and then let them know after,100
244,2,Eunice,4,16648,tell a lifeguard,84
245,2,Eunice,5,7646,go home,31
246,2,Mary,0,10959,ask for an extension,74
247,2,Mary,1,7212,cry ,0
248,2,Mary,2,15409,hope the teacher doesnt ask for the assignment,50
249,2,Mary,3,21410,go home and get the homework be late for class,35
250,2,Mary,4,17397,yell at her mom,0
251,2,Mary,5,4390,ask a friend for advice,58
252,2,Eamon,0,11117,crash into the car,0
253,2,Eamon,1,11725,push the driver off the road so he doesnt hurt anyone,58
254,2,Eamon,2,4963,let the driver do whatever he wants,0
255,2,Eamon,3,10112,try to get in front of the driver and prevent him from going any further,63
256,2,Eamon,4,11704,start driving erratically himself,0
257,2,Eamon,5,5669,hope nothing bad happens,23
258,2,Brad,0,10225,start a fire for signal ,84
259,2,Brad,1,8525,wait for a rescue team ,76
260,2,Brad,2,6480,lie to his friends and try to find his way out ,25
261,2,Brad,3,11243,have a meltdown ,0
262,2,Brad,4,82599,kill himself ,0
263,2,Brad,5,4360,pretend nothing is wrong,0
264,2,Darya,0,22486,show the admissions person a ticket receipt,61
265,2,Darya,1,3227,yell at ted ,0
266,2,Darya,2,15271,see if anyone is selling an extra ticket at the entrance,67
267,2,Darya,3,80341,see the band the next time they come to town ,62
268,2,Darya,4,14095,sit outside the concert and see if they can hear it instead of leaving ,57
269,2,Darya,5,5864,have their own concert,86
270,84,Mary,0,39956,not show up for class ,0
271,84,Mary,1,13110,go straight to the nurse,45
272,84,Mary,2,33023,tell her teacher her dog ate the assignment  ,0
273,84,Mary,3,46311,tell the teacher there was an emergency at home and she could not do the assignment,100
274,84,Mary,4,12500,go straight to the nurses office ,50
275,84,Mary,5,62100,tell the teacher her parents are getting a divorce and she cant concentrate,16
276,84,Brian,0,61721,tell his manager he doesnt feel well ,50
277,84,Brian,1,25970,tell his manager a customer was yelling at him and he got flustered and lost focus ,90
278,84,Brian,2,39780,tell his manager someone was short of cash and he felt sorry for them so let pay what they had ,94
279,84,Brian,3,53426,tell his manager he thinks the register was acting funny and he was worried something like this would happen,75
280,84,Brian,4,35533,tell his manager something was mispriced so he charged the customer less,85
281,84,Brian,5,54307,tell his boss he was so hungry and he used the money to buy a snack and will replace it when he gets paid,50
282,84,Josh,0,41073,call the airlines to explain ,100
283,84,Josh,1,25798,call an uber ,100
284,84,Josh,2,44163,call the airlines and reschedule his flight ,100
285,84,Josh,3,15716,kill himself,0
286,84,Josh,4,9752,call the police,19
287,84,Josh,5,79102,wait to see if help arrived and then do what he could depending on how much time he had left,100
288,84,Eamon,0,41348,pull over and let the car get far ahead,77
289,84,Eamon,1,48872,keep going with a distance between his car and the other car ,100
290,84,Eamon,2,53532,keep going and pray nothing happens,50
291,84,Eamon,3,61995,pull off the road as soon as possible and find a place to get coffee ,50
292,84,Eamon,4,110000,nothing  just put it in the hands of god,52
293,84,Eamon,5,61771,be agresssive and tailgate the car until the driver notices ,0
294,84,Brad,0,37143,shoot a gun into the air to get attention ,50
295,84,Brad,1,40914,leave his friends where they are and search for help ,100
296,84,Brad,2,28744,go back the way they came ,50
297,84,Brad,3,59176,call a meeting with his friends and vote on what to do,100
298,84,Brad,4,16037,give up and wait to die,0
299,84,Brad,5,92727,send up smoke signals ,19
300,84,Liz,0,62680,explain what happened and ask if she or someone else could go and let her friend know ,100
301,84,Liz,1,54637,run past the desk and find her friend ,7
302,84,Liz,2,31976,tell the front desk her friend was in danger,0
303,84,Liz,3,26609,call her friends family and ask if they can help,51
304,84,Liz,4,43350,ask the desk to page one of their workers to go and let her friend know,100
305,84,Liz,5,15857,leave and tell her friend what happened later,50
306,84,Heinz,0,25915,let his wife get the treatment and deal with the payment issue later ,100
307,84,Heinz,1,17092,beg the doctors for help,46
308,84,Heinz,2,22202,pull out a gun and say give my wife the treatment or i will shoot,0
309,84,Heinz,3,48755,lie about his insurance and say he will go home and get the paperwork while his wife is being treated,100
310,84,Heinz,4,71790,put a gun to his head and say if they dont treat his wife he will kill himself,0
311,84,Heinz,5,31329,offer to pay in installments ,100
312,84,Eunice,0,23502,take pictures with her phone in case ,100
313,84,Eunice,1,36934,wander over and take something to see how the teen reacts,0
314,84,Eunice,2,31534,pray that all is okay ,52
315,84,Eunice,3,30020,ask someone else if they know the teen,78
316,84,Eunice,4,56360,act like there is a medical emergency and she needs help to see what the teen will do ,50
317,84,Eunice,5,14696,take her stuff and leave ,29
318,84,Darya,0,36077,act like she is sick so he can escort her to the bathroom inside ,72
319,84,Darya,1,26888,say she is dying in this is her last chance ever to see a concert ,47
320,84,Darya,2,13971,steal someone elses ticket ,0
321,84,Darya,3,63550,say someone just stole her ticket and ran ,51
322,84,Darya,4,44738,start crying and hope someone will feel sorry for her and buy a ticket ,64
323,84,Darya,5,24629,threaten to hurt someone if she doesnt get let in ,0
324,32,Mary,0,22945,lie,6
325,32,Mary,1,18047,complete half the assignment,36
326,32,Mary,2,5222,idk,0
327,32,Mary,3,2601,idk,5
328,32,Mary,4,2628,idk,5
329,32,Mary,5,3178,idk,0
330,32,Eamon,0,70526,report it to the police,81
331,32,Eamon,1,9526,write down the license plate number,70
332,32,Eamon,2,4195,hit the car,5
333,32,Eamon,3,4208,flash high beams,90
334,32,Eamon,4,3726,idk,2
335,32,Eamon,5,1390,idk,2
336,32,Brian,0,12222,put his own money in,28
337,32,Brian,1,5876,tell his manager the truth,99
338,32,Brian,2,6026,ask his coworkers about missing money,90
339,32,Brian,3,6448,pool money with coworker,38
340,32,Brian,4,5416,ignore the missing moneydo nothin,51
341,32,Brian,5,1868,idk,2
342,32,Brad,0,10649,start a fire,91
343,32,Brad,1,3676,call for help,100
344,32,Brad,2,2884,keep hiking,37
345,32,Brad,3,5030,stay putmake shelter,81
346,32,Brad,4,5527,killeat his friends,0
347,32,Brad,5,2908,searchhunt for food,88
348,32,Josh,0,10099,call a uber,100
349,32,Josh,1,3730,call aaa,100
350,32,Josh,2,5466,hitch a ride,94
351,32,Josh,3,2549,call someone,99
352,32,Josh,4,4646,cancel his trip,15
353,32,Josh,5,5806,walk to the airport,73
354,32,Darya,0,6596,go without him,31
355,32,Darya,1,1202,skip the concert,0
356,32,Darya,2,2998,go home to find ticket,78
357,32,Darya,3,4894,give him her ticket,18
358,32,Darya,4,3126,try to buy another ticket,98
359,32,Darya,5,4115,help him sneak in,65
360,32,Heinz,0,14442,ask familyfriends for money,89
361,32,Heinz,1,2652,fundraise money,95
362,32,Heinz,2,2742,seek government or charity assistance,88
363,32,Heinz,3,10807,take out a loan,29
364,32,Heinz,4,3470,do not get treatment,1
365,32,Heinz,5,5981,rob a bank,2
366,32,Eunice,0,9962,go talk to the family,93
367,32,Eunice,1,1370,talk to the teen,93
368,32,Eunice,2,6794,yell atconfront the teen,9
369,32,Eunice,3,2782,ignore the situation,23
370,32,Eunice,4,3744,call 911,2
371,32,Eunice,5,3653,watch closely,100
372,32,Liz,0,4068,renew her membership,98
373,32,Liz,1,3933,use the front desks phone,91
374,32,Liz,2,2817,borrow someone elses phone,91
375,32,Liz,3,4611,leave the gym,69
376,32,Liz,4,2434,sneak in to the gym,18
377,32,Liz,5,2528,wait for her friend,99
378,27,Liz,0,31812,pull the fire alarm to evacuate the gym,10
379,27,Liz,1,14018,ask for a day pass,79
380,27,Liz,2,6307,use someone elses membership,43
381,27,Liz,3,17547,go to the public library and use the computer to message her via social media,67
382,27,Liz,4,12275,blow her friend off and go get a snack,3
383,27,Liz,5,17203,ask someone else walking into the gym to pass along the message for her,69
384,27,Mary,0,34234,run home to get the assignment and show up late for class,44
385,27,Mary,1,33349,tell the teacher shell turn the assignment in late and ask for extra credit opportunitites,82
386,27,Mary,2,10628,say the dog ate her homework,3
387,27,Mary,3,19326,start a rebellion in class about how unfair it is that anyone has to do homework in the first place,20
388,27,Mary,4,22471,pull the fire alarm so class gets cancelled,0
389,27,Mary,5,19371,drop out of the class,6
390,27,Josh,0,19094,call the airline to see about transferring his ticket to a later flight,76
391,27,Josh,1,8354,use an uber or lyft,77
392,27,Josh,2,15468,put a fake siren on top of his car to breeze through traffic,4
393,27,Josh,3,48523,use public transit,88
394,27,Josh,4,19749,switch vehicles with someone on a motorbike,39
395,27,Josh,5,14892,call the airline and ask them to hold the flight till he arrives,34
396,27,Brad,0,17934,make traps to catch small animals for food,78
397,27,Brad,1,20655,use anything reflective in their packs mirrors etc to make light signals for distress,82
398,27,Brad,2,15403,start a new society in the wilderness with its own structure and rules,39
399,27,Brad,3,22840,climb trees to look for the nearest signs of civilization,98
400,27,Brad,4,23732,eat wild berries for sustenance,40
401,27,Brad,5,19042,dive into a freezing lake to end it all quickly,12
402,27,Heinz,0,8651,rob a bank,1
403,27,Heinz,1,44860,start a protest movement to inspire others to restructure the healthcare system,56
404,27,Heinz,2,8764,move to a country with free universal healthcare,60
405,27,Heinz,3,21177,look for practitioners of alternative medicine,30
406,27,Heinz,4,20197,steal medication from a local hospital or pharmacy,12
407,27,Heinz,5,20567,develop their own treatment plan,29
408,27,Eamon,0,15877,follow the car to make sure they get home safely,58
409,27,Eamon,1,22030,bash the back of the car to force them to pull over,8
410,27,Eamon,2,17542,park the car and take a taxi home,55
411,27,Eamon,3,27796,start a live tweeting thread about the experience with photos of the license plate,30
412,27,Eamon,4,21717,shoot out one of their back tires,2
413,27,Eamon,5,12604,flip them off as he passes by,14
414,27,Eunice,0,23831,start a friendly conversation with the teen and see what they have to say for themself,68
415,27,Eunice,1,24400,throw a handful of sand at them,15
416,27,Eunice,2,36147,take a nap on the beach,39
417,27,Eunice,3,8612,follow the teen to see where they go after,39
418,27,Eunice,4,3893,go for a swim,30
419,27,Eunice,5,21185,point and yell so everyone on the beach notices the situation,33
420,27,Darya,0,18575,scalp a ticket,45
421,27,Darya,1,6628,blow off the concert and go somewhere else,55
422,27,Darya,2,16228,hang around the tour bus and try to get invited backstage,58
423,27,Darya,3,15388,pretend to be famous and talk their way into the concert,23
424,27,Darya,4,20975,break into the concert through a back entrance,10
425,27,Darya,5,10220,listen from outside the arenavenue,56
426,27,Brian,0,17576,recount the money to make sure there wasnt a mistake,70
427,27,Brian,1,9740,review security footage to see if theres an obvious explanation,55
428,27,Brian,2,24506,borrow money from someone,16
429,27,Brian,3,29276,alter the records of the days sales so the till looks balanced,0
430,27,Brian,4,5971,quit his job,26
431,27,Brian,5,15395,blame one of his coworkers for the missing money,0
432,21,Eamon,0,17801,nothing,0
433,21,Eamon,1,12476,write down license plate,100
434,21,Eamon,2,23437,not sure,50
435,21,Eamon,3,2703,not sure,50
436,21,Eamon,4,2250,not sure,50
437,21,Eamon,5,2259,not sure,50
438,21,Liz,0,36877,nothing,15
439,21,Liz,1,5949,not sure,50
440,21,Liz,2,2493,not sure,50
441,21,Liz,3,2784,not sure,50
442,21,Liz,4,2953,not sure,50
443,21,Liz,5,2574,not sure,50
444,21,Darya,0,8660,not sure,51
445,21,Darya,1,3219,not sure,49
446,21,Darya,2,3043,not sure,50
447,21,Darya,3,2945,not sure,50
448,21,Darya,4,4205,not sure,51
449,21,Darya,5,9456,try to reprint ticket from website,56
450,21,Brian,0,18576,not sure,50
451,21,Brian,1,2574,not sure,50
452,21,Brian,2,2203,not sure,51
453,21,Brian,3,2233,not sure,50
454,21,Brian,4,2509,not sure,50
455,21,Brian,5,2574,not sure,50
456,21,Eunice,0,10700,not sure,50
457,21,Eunice,1,4560,not sure,49
458,21,Eunice,2,8006,ask someone nearby if they saw it,55
459,21,Eunice,3,6581,ask someone nearby for advice,55
460,21,Eunice,4,2777,not sure,50
461,21,Eunice,5,2558,not sure,50
462,21,Heinz,0,19051,ask pharma company for discount,50
463,21,Heinz,1,3115,not sure,50
464,21,Heinz,2,9315,research alternative treatments,50
465,21,Heinz,3,2728,not sure,50
466,21,Heinz,4,2419,not sure,48
467,21,Heinz,5,2380,not sure,51
468,21,Brad,0,16963,not sure,50
469,21,Brad,1,2299,not sure,51
470,21,Brad,2,2727,not sure,51
471,21,Brad,3,2606,not sure,50
472,21,Brad,4,2429,not sure,50
473,21,Brad,5,2324,not sure,50
474,21,Mary,0,33128,get a ride home asap and be late for class,54
475,21,Mary,1,15200,go to principal,56
476,21,Mary,2,2493,not sure,50
477,21,Mary,3,2664,not sure,50
478,21,Mary,4,2517,not sure,51
479,21,Mary,5,2905,not sure,49
480,21,Josh,0,15420,not sure,50
481,21,Josh,1,2477,not sure,50
482,21,Josh,2,2735,not sure,50
483,21,Josh,3,2275,not sure,51
484,21,Josh,4,2930,not sure,50
485,21,Josh,5,2711,not sure,50
486,100,Darya,0,31217,go without him,27
